gateway_name,symbol,exchange,orderid,tradeid,direction,offset,price,volume,time,datetime,pnl,net_npl,commission,slippage,interval
BACKTESTING,XBTUSD,BITMEX,99,99,多,开,12582.0,53.872053872053876,05:34:00,2019-06-26 05:34:00,0,0,135.5636363636364,26.936026936026938,1m
BACKTESTING,XBTUSD,BITMEX,100,100,多,开,12767.5,53.872053872053876,06:55:00,2019-06-26 06:55:00,0,0,137.56228956228958,26.936026936026938,1m
BACKTESTING,XBTUSD,BITMEX,101,101,空,平,12396.0,161.61616161616163,09:52:00,2019-06-26 09:52:00,-35043.77104377114,-36013.75353535364,400.67878787878794,80.80808080808082,1m
BACKTESTING,XBTUSD,BITMEX,102,102,多,开,12972.5,37.1540033438603,16:22:00,2019-06-26 16:22:00,0,0,96.39606167564557,18.57700167193015,1m
BACKTESTING,XBTUSD,BITMEX,103,103,多,开,13107.0,37.1540033438603,16:24:00,2019-06-26 16:24:00,0,0,97.3955043655954,18.57700167193015,1m
BACKTESTING,XBTUSD,BITMEX,104,104,多,开,13376.0,37.1540033438603,16:45:00,2019-06-26 16:45:00,0,0,99.39438974549509,18.57700167193015,1m
BACKTESTING,XBTUSD,BITMEX,105,105,多,开,13779.5,37.1540033438603,18:36:00,2019-06-26 18:36:00,0,0,102.39271781534461,18.57700167193015,1m
BACKTESTING,XBTUSD,BITMEX,106,106,空,平,13241.0,148.6160133754412,20:36:00,2019-06-26 20:36:00,-10068.734906186142,-11006.494519784508,393.56492662084344,74.3080066877206,1m
BACKTESTING,XBTUSD,BITMEX,107,107,空,开,11659.0,29.870808752146967,20:45:00,2019-06-26 20:45:00,0,0,69.6527518482563,14.935404376073484,1m
BACKTESTING,XBTUSD,BITMEX,108,108,多,平,12328.5,29.870808752146967,20:46:00,2019-06-26 20:46:00,-19998.506459562395,-20171.682473302968,73.65245314016877,14.935404376073484,1m
BACKTESTING,XBTUSD,BITMEX,109,109,空,开,11633.0,17.584736448762477,09:12:00,2019-06-27 09:12:00,0,0,40.91264782169078,8.792368224381239,1m
BACKTESTING,XBTUSD,BITMEX,110,110,空,开,11348.5,17.584736448762477,09:31:00,2019-06-27 09:31:00,0,0,39.912076317756195,8.792368224381239,1m
BACKTESTING,XBTUSD,BITMEX,111,111,空,开,10780.0,17.584736448762477,17:04:00,2019-06-27 17:04:00,0,0,37.912691783531905,8.792368224381239,1m
BACKTESTING,XBTUSD,BITMEX,112,112,多,平,11500.0,52.75420934628743,07:18:00,2019-06-28 07:18:00,-12986.327867411153,-13279.15417417688,121.33468149646109,26.377104673143716,1m
BACKTESTING,XBTUSD,BITMEX,113,113,多,开,11950.0,23.207240659085635,10:02:00,2019-06-28 10:02:00,0,0,55.465305175214674,11.603620329542817,1m
BACKTESTING,XBTUSD,BITMEX,114,114,多,开,12165.5,23.207240659085635,19:16:00,2019-06-28 19:16:00,0,0,56.465537247621256,11.603620329542817,1m
BACKTESTING,XBTUSD,BITMEX,115,115,空,平,11720.0,46.41448131817127,02:01:00,2019-06-29 02:01:00,-15676.491065212345,-15943.631933163148,108.79554420979348,23.207240659085635,1m
BACKTESTING,XBTUSD,BITMEX,116,116,空,开,11619.0,42.386351594786476,07:58:00,2019-06-30 07:58:00,0,0,98.49740383596482,21.193175797393238,1m
BACKTESTING,XBTUSD,BITMEX,117,117,空,开,11501.0,42.386351594786476,10:39:00,2019-06-30 10:39:00,0,0,97.49708593832786,21.193175797393238,1m
BACKTESTING,XBTUSD,BITMEX,118,118,空,开,11265.0,42.386351594786476,13:49:00,2019-06-30 13:49:00,0,0,95.49645014305393,21.193175797393238,1m
BACKTESTING,XBTUSD,BITMEX,119,119,空,开,10911.0,42.386351594786476,14:19:00,2019-06-30 14:19:00,0,0,92.49549645014305,21.193175797393238,1m
BACKTESTING,XBTUSD,BITMEX,120,120,多,平,11383.0,169.5454063791459,20:47:00,2019-06-30 20:47:00,-10003.1789763693,-10942.697891278698,385.9870721627636,84.77270318957295,1m
BACKTESTING,XBTUSD,BITMEX,121,121,空,开,10804.5,39.631427722183695,23:48:00,2019-06-30 23:48:00,0,0,85.63955216486674,19.815713861091847,1m
BACKTESTING,XBTUSD,BITMEX,122,122,空,开,10678.5,39.631427722183695,23:50:00,2019-06-30 23:50:00,0,0,84.64084018626772,19.815713861091847,1m
BACKTESTING,XBTUSD,BITMEX,123,123,多,平,11183.0,79.26285544436739,03:36:00,2019-07-01 03:36:00,-34994.55067868835,-35421.37322897072,177.27930248687213,39.631427722183695,1m
